date,open,high,low,close,volume
2008-03-03,28.489999771118164,41.540000915527344,28.489999771118164,35.7599983215332,0
2008-03-04,38.08000183105469,51.06999969482422,30.59000015258789,38.08000183105469,0
2008-03-05,38.08000183105469,38.7599983215332,27.950000762939453,35.5099983215332,0
2008-03-07,36.95000076293945,39.34000015258789,27.049999237060547,35.20000076293945,0
2008-03-10,25.329999923706055,47.95000076293945,25.329999923706055,32.58000183105469,0
2008-03-11,30.719999313354492,37.540000915527344,29.75,32.689998626708984,0
2008-03-12,31.190000534057617,34.060001373291016,24.059999465942383,32.36000061035156,0
2008-03-13,37.83000183105469,37.83000183105469,25.280000686645508,34.150001525878906,0
2008-03-14,36.31999969482422,37.81999969482422,29.06999969482422,31.110000610351562,0
2008-03-17,33.45000076293945,38.54999923706055,28.229999542236328,33.43000030517578,0
2008-03-18,31.780000686645508,49.029998779296875,31.780000686645508,37.84000015258789,0
2008-03-19,37.84000015258789,41.84000015258789,30.040000915527344,35.4900016784668,0
2008-03-24,35.4900016784668,39.040000915527344,29.6299991607666,35.209999084472656,0
2008-03-25,35.209999084472656,36.02000045776367,30.459999084472656,33.29999923706055,0
2008-03-26,33.29999923706055,45.810001373291016,28.079999923706055,37.18000030517578,0
2008-03-27,37.18000030517578,39.40999984741211,27.399999618530273,37.279998779296875,0
2008-03-28,46.150001525878906,46.150001525878906,28.43000030517578,33.06999969482422,0
2008-03-31,33.06999969482422,37.91999816894531,28.56999969482422,35.13999938964844,0
2008-04-01,31.239999771118164,38.380001068115234,28.59000015258789,35.099998474121094,0
2008-04-02,35.099998474121094,38.40999984741211,27.6299991607666,33.619998931884766,0
2008-04-03,33.619998931884766,37.22999954223633,30.280000686645508,36.68000030517578,0
2008-04-04,36.68000030517578,37.22999954223633,30.329999923706055,36.93000030517578,0
2008-04-07,36.93000030517578,36.93000030517578,22.489999771118164,30.989999771118164,0
2008-04-08,30.989999771118164,33.709999084472656,26.770000457763672,31.399999618530273,0
2008-04-09,31.399999618530273,39.36000061035156,28.3700008392334,38.2400016784668,0
2008-04-10,38.2400016784668,38.2400016784668,28.450000762939453,30.520000457763672,0
2008-04-11,30.520000457763672,34.7599983215332,21.34000015258789,33.83000183105469,0
2008-04-15,23.969999313354492,42.41999816894531,23.969999313354492,30.229999542236328,0
2008-04-16,30.229999542236328,31.8700008392334,24.010000228881836,27.940000534057617,0
2008-04-17,27.100000381469727,27.100000381469727,27.100000381469727,27.100000381469727,0
2008-04-21,27.100000381469727,27.100000381469727,27.100000381469727,27.100000381469727,0
2008-04-22,39.619998931884766,39.619998931884766,39.619998931884766,39.619998931884766,0
2008-04-23,32.369998931884766,32.369998931884766,32.369998931884766,32.369998931884766,0
2008-04-24,28.729999542236328,28.729999542236328,28.729999542236328,28.729999542236328,0
2008-04-25,27.399999618530273,27.399999618530273,27.399999618530273,27.399999618530273,0
2008-04-28,27.6200008392334,27.6200008392334,27.6200008392334,27.6200008392334,0
2008-04-29,27.6200008392334,27.6200008392334,25.56999969482422,26.15999984741211,0
2008-04-30,26.15999984741211,26.15999984741211,22.489999771118164,26.15999984741211,0
2008-05-02,25.15999984741211,26.020000457763672,22.43000030517578,24.209999084472656,0
2008-05-05,24.209999084472656,26.90999984741211,19.950000762939453,25.06999969482422,0
2008-05-06,25.06999969482422,28.5,23.059999465942383,24.90999984741211,0
2008-05-07,24.90999984741211,30.18000030517578,22.200000762939453,25.059999465942383,0
2008-05-08,25.059999465942383,27.25,23.639999389648438,25.940000534057617,0
2008-05-09,25.940000534057617,30.809999465942383,23.3799991607666,27.530000686645508,0
2008-05-12,27.530000686645508,32.11000061035156,19.059999465942383,31.5,0
2008-05-13,31.5,33.529998779296875,26.09000015258789,33.43000030517578,0
2008-05-14,33.43000030517578,33.43000030517578,24.790000915527344,29.219999313354492,0
2008-05-15,29.219999313354492,30.079999923706055,15.850000381469727,29.020000457763672,0
2008-05-16,29.020000457763672,30.75,22.3799991607666,23.25,0
2008-05-20,28.670000076293945,28.670000076293945,11.739999771118164,24.989999771118164,0
2008-05-21,30.530000686645508,30.530000686645508,8.739999771118164,27.860000610351562,0
2008-05-22,27.860000610351562,35.790000915527344,24.1299991607666,34.86000061035156,0
2008-05-23,34.86000061035156,40.0099983215332,24.729999542236328,34.029998779296875,0
2008-05-26,34.029998779296875,34.029998779296875,25.06999969482422,33.0099983215332,0
2008-05-27,33.0099983215332,34.150001525878906,25.600000381469727,28.59000015258789,0
2008-05-28,28.59000015258789,41.619998931884766,23.559999465942383,32.630001068115234,0
